season,season_sort_key,player_name,team,grade,matches,innings,not_outs,runs,high_score,average,strike_rate,30s,50s,100s,ducks,fours,sixes,source_sheet,source_row,source_file,source_system,data_confidence,qa_status
Summer 1931/32,193100,L Duly,Georges River DCC,Historical club summary,,17,,170,39,10,,,,,,,,1931-32,7,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,L Tustin,Georges River DCC,Historical club summary,,12,2,80,23,8,,,,,,,,1931-32,19,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,M Jones,Georges River DCC,Historical club summary,,18,1,252,68,14.82352941,,,,,,,,1931-32,11,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,N Nosworthy,Georges River DCC,Historical club summary,,10,,284,70,28.4,,,,,,,,1931-32,36,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,Norm Nosworthy,Georges River DCC,Historical club summary,,12,1,303,68,27.54545455,,,,,,,,1931-32,12,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,Percy Eldridge,Georges River DCC,Historical club summary,,3,,7,7,2.333333333,,,,,,,,1931-32,8,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,Percy Eldridge,Georges River DCC,Historical club summary,,20,,294,53,14.7,,,,,,,,1931-32,29,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,Phil Payne,Georges River DCC,Historical club summary,,17,2,505,188,33.66666667,,,,,,,,1931-32,15,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,Played Wo,Georges River DCC,Historical club summary,1,,,,1,,,,,,,,,1931-32,48,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,Played Wo,Georges River DCC,Historical club summary,1,,,,1,,,,,,,,,1931-32,52,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,Ren Bullock,Georges River DCC,Historical club summary,,20,1,454,59,23.89473684,,,,,,,,1931-32,5,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,S Glasspool,Georges River DCC,Historical club summary,,1,,9,9,9,,,,,,,,1931-32,9,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,S Glasspool,Georges River DCC,Historical club summary,,13,2,141,27,12.81818182,,,,,,,,1931-32,30,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,S Narramore,Georges River DCC,Historical club summary,,6,,31,11,5.166666667,,,,,,,,1931-32,35,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,T O'neill,Georges River DCC,Historical club summary,,9,2,31,12,4.428571429,,,,,,,,1931-32,13,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,T O'neill,Georges River DCC,Historical club summary,,4,1,42,27,14,,,,,,,,1931-32,37,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,T Whitaker,Georges River DCC,Historical club summary,,20,7,95,25,7.307692308,,,,,,,,1931-32,44,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,W Payne,Georges River DCC,Historical club summary,,4,,28,16,7,,,,,,,,1931-32,16,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,W Payne,Georges River DCC,Historical club summary,,17,,307,88,18.05882353,,,,,,,,1931-32,38,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1931/32,193100,W Vale,Georges River DCC,Historical club summary,,17,6,54,15,4.909090909,,,,,,,,1931-32,20,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,12 3,Georges River DCC,Historical club summary,,6,3,,30,,,,,,,,,1932-33,52,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,13 6,Georges River DCC,Historical club summary,5,1,1,,80,,,,,,,,,1932-33,48,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,A Clarkson,Georges River DCC,Historical club summary,,2,,24,13,12,,,,,,,,1932-33,6,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,A Clarkson,Georges River DCC,Historical club summary,,15,,152,41,10.133333333333333,,,,,,,,1932-33,27,bexley_stats_spreadsheets.xlsx,excel,high,clean
