source_file,source_sheet,source_row,player_name,season,metric_group,check_name,source_value,expected_value,difference,tolerance,issue_flag,severity,reason,action
bexley_stats_spreadsheets.xlsx,1929-30,39,G Gilbert,Summer 1929/30,batting,high_score_not_above_total_runs,10.0,33.0,-23.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,39,G Gilbert,Summer 1929/30,batting,not_outs_not_above_innings,4.0,12.0,-8.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,39,G Gilbert,Summer 1929/30,batting,batting_average_reconciliation,4.125,4.12,0.005,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,39,G Gilbert,Summer 1929/30,bowling,bowling_average_reconciliation,21.5,21.5,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,40,F Hurst,Summer 1929/30,batting,high_score_not_above_total_runs,24.0,173.0,-149.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,40,F Hurst,Summer 1929/30,bowling,bowling_average_reconciliation,33.0,33.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,40,F Hurst,Summer 1929/30,bowling,high_numerator_zero_overs,33.0,0,33.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,41,W Ives,Summer 1929/30,bowling,bowling_average_reconciliation,48.0,48.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,41,W Ives,Summer 1929/30,bowling,high_numerator_zero_overs,48.0,0,48.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,42,W Lofberg,Summer 1929/30,bowling,bowling_average_reconciliation,21.0,21.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,43,J Langdon,Summer 1929/30,bowling,bowling_average_reconciliation,35.0,35.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,43,J Langdon,Summer 1929/30,bowling,high_numerator_zero_overs,35.0,0,35.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,44,J Lynch,Summer 1929/30,batting,high_score_not_above_total_runs,20.0,71.0,-51.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,44,J Lynch,Summer 1929/30,bowling,bowling_average_reconciliation,19.91666667,19.92,-0.0033,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,45,J Mcguiness,Summer 1929/30,batting,high_score_not_above_total_runs,43.0,257.0,-214.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,45,J Mcguiness,Summer 1929/30,bowling,bowling_average_reconciliation,15.45945946,15.46,-0.0005,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,45,J Mcguiness,Summer 1929/30,bowling,bowling_runs_not_wickets_semantic_check,572.0,15.46,556.54,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,46,F Richards,Summer 1929/30,batting,high_score_not_above_total_runs,45.0,109.0,-64.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,46,F Richards,Summer 1929/30,batting,not_outs_not_above_innings,1.0,11.0,-10.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,46,F Richards,Summer 1929/30,batting,batting_average_reconciliation,10.9,10.9,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,46,F Richards,Summer 1929/30,bowling,bowling_average_reconciliation,17.30769231,17.31,-0.0023,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,47,C Robinson,Summer 1929/30,bowling,bowling_average_reconciliation,24.75,24.75,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,48,P Scott,Summer 1929/30,bowling,bowling_average_reconciliation,23.33333333,23.33,0.0033,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,48,P Scott,Summer 1929/30,bowling,high_numerator_zero_overs,70.0,0,70.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,49,Reg Sommerlad,Summer 1929/30,batting,high_score_not_above_total_runs,38.0,139.0,-101.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,49,Reg Sommerlad,Summer 1929/30,bowling,bowling_average_reconciliation,16.2,16.2,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,50,L Stuart,Summer 1929/30,batting,high_score_not_above_total_runs,71.0,392.0,-321.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,50,L Stuart,Summer 1929/30,bowling,bowling_average_reconciliation,21.5,21.5,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,50,L Stuart,Summer 1929/30,bowling,high_numerator_zero_overs,86.0,0,86.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,51,W Tate,Summer 1929/30,bowling,bowling_average_reconciliation,26.0,26.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,51,W Tate,Summer 1929/30,bowling,high_numerator_zero_overs,26.0,0,26.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,52,T Whittaker,Summer 1929/30,batting,high_score_not_above_total_runs,25.0,109.0,-84.0,0,,,,
