sheet_name,row_count,max_columns,column_names,detected_season,detected_grades,detected_players,contains_batting,contains_bowling,contains_fielding,contains_match_results,contains_scorecards
2007-08,77,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2007/08,,76,True,False,False,False,False
2008-09,77,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2008/09,,76,True,False,False,False,False
2009-10,96,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2009/10,,95,True,False,False,False,False
2010-11,106,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2010/11,,105,True,False,False,False,False
2011-12,93,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2011/12,,92,True,False,False,False,False
2012-13,105,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2012/13,,104,True,False,False,False,False
2013-14,125,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2013/14,,124,True,False,False,False,False
2014-15,129,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2014/15,,128,True,False,False,False,False
2015-16,162,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2015/16,,161,True,False,False,False,False
2016-17,131,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2016/17,,130,True,False,False,False,False
2017-18,185,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2017/18,,184,True,False,False,False,False
2018-19,166,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2018/19,,165,True,False,False,False,False
2019-20,148,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2019/20,,147,True,False,False,False,False
2020-21,131,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2020/21,,130,True,False,False,False,False
2021-22,140,16, |  | PLAYER | MAT | INN | NO | 100S | 50S | 0S | 4S | 6S | MINS | HS | RUNS | AVE. | STR.,Summer 2021/22,,139,True,False,False,False,False
