season_id,season,team_id,team_name,grade_id,grade_name,competition_id,competition_name,display_grade_name,grade_group,grade_type,format,age_group,gender_group,display_order,include_in_senior_records,include_in_junior_records,include_in_whole_club_records,requires_review,notes,record_scope,match_count_policy_note
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,288c5c21-aebf-42a9-808e-b34624d8814a,Glen Waverley Hawks - Under 13's,d4b38eb5-5b09-423b-b016-a875cfe48fe3,U13A Saturday - Fischer Shield,6302207e-7132-ec11-981f-501ac52e1666,Cricket Southern Bayside,U13A Saturday - Fischer Shield,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,37eda271-9518-4d1c-9658-5f6b61484e41,Glen Waverley Hawks Girls Stage 1 - Spirit,5f33c2da-f5c7-403e-9726-6b7a9da42644,Girls Stage 1 - Spirit,ef01277d-8ad8-eb11-a7ad-2818780da0cc,Ringwood District Cricket Association Inc.,Girls Stage 1 - Spirit,Senior women/girls,Senior/open,One Day,Open,Women/Girls,200,False,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
f8ebef3a-ba2d-48c4-95f8-0b13d067e817,Summer 2023/24,c7f224df-0a80-4675-ae46-53e43b87fd61,Glen Waverley Hawks - 1st XI,dbffc547-6793-41ee-98f2-c204678bc451,"2 - Howard Wilson Shield (80 Overs, 11 Players)",665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,Howard Wilson Shield,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
f8ebef3a-ba2d-48c4-95f8-0b13d067e817,Summer 2023/24,548d46e4-ef31-49a0-b343-fc8728af25ac,Glen Waverley Hawks - 2nd XI,75c52b3e-a463-4778-ad18-237d7375ebde,"B Grade (80 Overs, 12 Players)",665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,B Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
f8ebef3a-ba2d-48c4-95f8-0b13d067e817,Summer 2023/24,51246278-5b97-40d0-9e28-1e8eaf0551ff,Glen Waverley Hawks - 3rd XI,9e74ed8b-f44d-40fc-99f4-01a66123f584,"E Grade (70 Overs, 12 Players)",665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,E Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
f8ebef3a-ba2d-48c4-95f8-0b13d067e817,Summer 2023/24,1e27735a-75fc-47f0-9856-110812ed126d,Glen Waverley Hawks - Fast 9's,25433a7c-f279-4d74-8846-72bb3a534cfb,Fast 9's - Sunday Gold,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,Fast 9's - Sunday Gold,Junior,Junior,Junior,Entry junior,Open/Mixed,800,False,True,True,False,record_scope=Junior,Junior,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
f8ebef3a-ba2d-48c4-95f8-0b13d067e817,Summer 2023/24,31e2d546-eec3-49f6-8b1a-742817765f9c,Glen Waverley Hawks - Super 7's,b8bf095f-cae6-41b0-b1c0-f1ec95e7973b,Super 7's Sunday Gold,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,Super 7's Sunday Gold,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
f8ebef3a-ba2d-48c4-95f8-0b13d067e817,Summer 2023/24,85615793-070d-4f1f-bdc0-1caeea4bd722,Glen Waverley Hawks - U/12,b82d799f-112e-4b89-a6a3-bc58e21b3990,Under 12 - Friday White,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,U12 - Friday White,Junior,Junior,Junior,U12,Open/Mixed,700,False,True,True,False,record_scope=Junior,Junior,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
f8ebef3a-ba2d-48c4-95f8-0b13d067e817,Summer 2023/24,7ac68450-7a02-42f0-8d2b-609f45b085b8,Glen Waverley Hawks - U/18,f58534b8-26ef-4f3e-8b2a-6ff8a0f9a629,Under 18 Friday - Gold,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,U18 Friday - Gold,Junior,Junior,Junior,U18,Open/Mixed,400,False,True,True,False,record_scope=Junior,Junior,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
f8ebef3a-ba2d-48c4-95f8-0b13d067e817,Summer 2023/24,3c18761e-dfed-4d61-92fc-38f4df231091,Glen Waverley Hawks T20 1st XI,ea1084bd-18d6-49f7-b3f5-32839878707a,T20 A Grade - Kookaburra Shield,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,T20 A Grade,T20,T20,T20,Open,Open/Mixed,300,False,False,True,False,record_scope=T20,T20,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
