season_id,season,team_id,team_name,grade_id,grade_name,competition_id,competition_name
e9b37153-9187-4dad-b04d-cf5fa01ccb8e,Summer 2006/07,2be7432c-7603-43ef-a149-34a8a6e3b36c,Woolnough Shield,c4613f69-4307-4724-adcc-6a43b96e5d7c,Woolnough Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
54f45899-c1b5-4d0a-ae20-dc26e463e143,Summer 2005/06,2968dd95-f0bc-4169-adb9-e91a3bf5ea83,G Grade,d39bf072-f890-480f-b66d-e4d78047a611,G Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
94913459-339b-4070-9581-c6c1dfad328b,Summer 2004/05,16663eed-9f87-4ff8-a6d0-1ff45ce97145,Pullen Shield,fb2f4b77-2f4c-400f-9b20-bd3a056dc4d9,Pullen Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
94913459-339b-4070-9581-c6c1dfad328b,Summer 2004/05,6aada3a3-ea8e-4c72-9c10-2ce2cfb95bf9,Woolnough Shield,bdd3b46a-f4a1-4626-b185-ba15ce47c807,Woolnough Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
4e850a88-1187-4f43-a5d9-7e988a6e218f,Summer 2003/04,a0573404-5b31-4d44-9ec4-2a1a806b0dd1,Pullen Shield,c463dfb7-30c4-47ff-8366-3e04b9ee9871,Pullen Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
4e850a88-1187-4f43-a5d9-7e988a6e218f,Summer 2003/04,285c973e-931e-4f03-9209-58706dcbcce3,Woolnough Shield,1ab718e6-da52-4a53-aa40-59714b2aa495,Woolnough Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
5347386c-ad71-47fe-bd25-a914b2ddf946,Summer 2001/02,d9c8ce32-2fbd-4564-994f-787d0f044be3,Standard One Day Grade,d0dbbe4c-bd1e-4205-89af-cb58b5efa76d,Standard One Day Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
5347386c-ad71-47fe-bd25-a914b2ddf946,Summer 2001/02,51b1e39f-1048-437c-aba7-eb7d56ce1d84,Woolnough Shield,925b443d-b1f4-4b9f-a779-ef240ce29b65,Woolnough Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
5877fbe1-f96a-4daa-b0fe-43d641e00c2f,Summer 2000/01,8b762522-6b89-4182-859e-264daed4f771,F Grade,1da30631-37b2-40f1-b9f6-e3457d93ce8b,F Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
5877fbe1-f96a-4daa-b0fe-43d641e00c2f,Summer 2000/01,c7ddb08a-6018-4c74-b2ce-5ba375852fc5,Pullen Shield,f23a05ea-91a8-4a6d-aa0e-fef620053c7f,Pullen Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
0d03a958-e6b7-4ddd-8675-0368eccd5614,Summer 1999/00,4aac1ad3-5df5-4d6d-8342-105d602f385f,F Grade,0860dd21-ecd4-40b5-8763-4646668dece0,F Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
0d03a958-e6b7-4ddd-8675-0368eccd5614,Summer 1999/00,d4fc68cd-9406-44d1-addb-9e3539731d85,I Grade,ca805e77-f148-44fe-af36-ac1836ef010e,I Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
0d03a958-e6b7-4ddd-8675-0368eccd5614,Summer 1999/00,d0586eb8-ae44-4eba-9b54-d6772729b0fe,Woolnough Shield,7143a3e5-16d2-4281-9bf2-d2a3fe7b9a8f,Woolnough Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
80a5bc35-c168-4aad-92a0-fe4c5dc68023,Summer 1998/99,39e96d32-0b04-486d-9192-4df9e37ccfe9,F Grade,d8ae6603-3178-42aa-b566-34a4f2958851,F Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
80a5bc35-c168-4aad-92a0-fe4c5dc68023,Summer 1998/99,441c9176-e08e-4259-a820-ecf783af0800,Pullen Shield,6edd983a-a8a5-4c64-8da6-ad09809a2b24,Pullen Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
b3c6e4dc-1650-4603-8934-84b6cfe6aa8c,Summer 1997/98,5007af19-874c-43b2-b640-9bc3f422cdbd,F Grade,5023def0-1de6-4eb9-ae1e-474824a943d7,F Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
b3c6e4dc-1650-4603-8934-84b6cfe6aa8c,Summer 1997/98,17ddfdce-fdc6-4246-9162-fc9199cb873b,J Grade,9ca7ec31-e1e4-455d-92f0-ad3aa45617da,J Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
b3c6e4dc-1650-4603-8934-84b6cfe6aa8c,Summer 1997/98,03fae93a-360a-4d97-bd86-fe9f9e7d97e8,Pullen Shield,0003316a-66a7-46e6-a1ac-b3480ae42fbf,Pullen Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
0e263c87-ad99-4a6b-ab34-a4908d863e4b,Summer 1996/97,42ec8865-e5f9-439e-bb0a-e73595e2e153,E Grade,70426ece-6df6-4625-9a60-889116b0db72,E Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
0e263c87-ad99-4a6b-ab34-a4908d863e4b,Summer 1996/97,ad0fd641-0072-4f82-ac1a-5a2689b87d81,H Grade,39ffceae-dd0b-47c6-a12c-89ad4028bb7e,H Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
0e263c87-ad99-4a6b-ab34-a4908d863e4b,Summer 1996/97,42f95adc-ff2d-46d9-a5e4-fc8d5c9cc32c,Quiney Shield,e71665e0-b647-465b-a76a-243fb8f15f8f,Quiney Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
7d54d91a-aed3-494d-90bb-d765baaee3be,Summer 1995/96,94d9758d-568d-4690-96b2-b92e7570a20f,I Grade,33c6c77f-9b80-4f57-83eb-1a391bf06f3d,I Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
7d54d91a-aed3-494d-90bb-d765baaee3be,Summer 1995/96,8ad56e82-8b84-4a3f-b89b-893ef98329a5,Woolnough Shield,a5345982-e044-4c99-a141-3bb729e5a5b6,Woolnough Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
1c2d5f4f-3ad3-4432-b1b7-296752084be0,Summer 1994/95,263b806d-78d9-43b3-96b6-e0bf7bab2190,Quiney Shield,d0675be6-7d37-4762-b4a2-adb2f345d928,Quiney Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
6599c48c-8222-4eb0-abbc-ae3d37717f12,Summer 1993/94,ce0899e9-0da3-4749-aa5e-e7a60765205d,J Grade,11856fda-fcaa-4f9e-b574-fdf74e35d446,J Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
6599c48c-8222-4eb0-abbc-ae3d37717f12,Summer 1993/94,e2106e58-9aa9-431b-b70d-a774bc33a9e8,Quiney Shield,c296a65f-fc0d-4f7c-a11c-02fd738554dc,Quiney Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
371ca67c-8c1e-4489-8cc5-ef03b86d7c1f,Summer 1992/93,aff56558-2eec-49ff-be8c-6b9ebea98502,Woolnough Shield,4ac2b07a-7b2e-4b38-a975-3ba771b1f9d6,Woolnough Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
fdd607d3-484c-4d37-8b3f-f70f16eda3ed,Summer 1991/92,22b87824-7f57-4e3a-8d12-48475937bdad,G Grade,d48478ad-15d1-4892-99cb-4ef44e8c31f8,G Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
fdd607d3-484c-4d37-8b3f-f70f16eda3ed,Summer 1991/92,914728ed-ce1e-4b84-962b-d90b173298b7,Quiney Shield,9d1ba42a-fefc-4fe8-907a-d0c923e45817,Quiney Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
fdd607d3-484c-4d37-8b3f-f70f16eda3ed,Summer 1991/92,643e133f-02ad-46f3-b756-c37da6bb6e0a,Woolnough Shield,c0e3fcbd-1e26-41a2-9781-42d42a89fedb,Woolnough Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
84fb4bb4-7a22-444b-9fdb-a864bc9a4ee5,Summer 1990/91,770bd993-145f-4546-9b32-dd2a7e9f84b2,Woolnough Shield,6bd0b870-77c2-42ac-ad92-c60d7bdfdda7,Woolnough Shield,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
cffa121f-70bb-4b9a-bd4c-ec2a639291b6,Summer 1989/90,3493c7f3-dea2-483a-96bb-2ee0380cf841,E Grade,ff7cb601-c3be-49e8-aba2-7da90d46a7cb,E Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
